127.0.0.1 - - [21/Feb/2024:17:14:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:14:23 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:14:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:17:26 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 500 6305
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:19:03 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 500 6617
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:20:37 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 500 18181
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:21:48 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 500 13546
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:25:20 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:27:32 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:27:54 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:28:12 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:28:31 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 200 602
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:28:37 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:29:18 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:29:24 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:29:30 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:29:42 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 200 635
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:29:52 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:29:57 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:33:26 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:34:09 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 500 2384
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:34:15 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:34:37 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:35:59 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:36:07 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:36:21 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:39:46 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:40:12 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [21/Feb/2024:17:46:09 +0900] "GET /webPro/cf/studentList.jsp HTTP/1.1" 200 1245
