127.0.0.1 - - [05/Mar/2024:08:58:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Mar/2024:08:58:03 +0900] "GET /wp/ch09/cookieEx01.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [05/Mar/2024:08:58:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:02:55 +0900] "GET /wp/ch12_jstl/coreEx01.jsp HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:06:37 +0900] "GET /wp/ch12_jstl/formatEx.jsp HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:11:21 +0900] "GET /wp/ch09/cookieEx02.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:11:32 +0900] "GET /wp/ch09/cookieEx01.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:12:02 +0900] "GET /wp/ch09/cookieEx01.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:17:09 +0900] "GET /wp/ch09/cookieEx01.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:18:59 +0900] "GET /wp/ch09/cookieEx02.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:19:40 +0900] "GET /wp/ch09/cookieEx02.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:20:44 +0900] "GET /wp/ch09/cookieEx02.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:20:44 +0900] "GET /wp/ch09/cookieEx02.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:23:06 +0900] "GET /wp/ch09/cookieEx01.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:23:12 +0900] "GET /wp/ch09/cookieEx01.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:27:47 +0900] "GET /wp/ch09/cookieEx02.jsp HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:27:56 +0900] "GET /wp/ch09/cookieEx02.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:27:57 +0900] "GET /wp/ch09/cookieEx02.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [05/Mar/2024:17:13:41 +0900] "GET /wp/ch12_jstl/formatEx.jsp HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [05/Mar/2024:17:16:48 +0900] "GET /wp/ch12_jstl/coreEx01.jsp HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [05/Mar/2024:17:19:44 +0900] "GET /wp/ch09/cookieEx01.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [05/Mar/2024:17:19:50 +0900] "GET /wp/ch09/cookieEx01.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [05/Mar/2024:17:38:17 +0900] "GET /wp/ch09/cookieEx02.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [05/Mar/2024:17:41:01 +0900] "GET /wp/ch09/cookieEx02.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [05/Mar/2024:17:42:51 +0900] "GET /wp/ch09/cookieEx02.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [05/Mar/2024:17:45:44 +0900] "GET /wp/ch09/cookieEx02.jsp HTTP/1.1" 200 220
